8
8
100
['dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dB_v1', 'dA_v1', 'dC_v1']
['dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dA_v2', 'dA_v1', 'dC_v1']
['dC_v3', 'dA_v2', 'dA_v1', 'dB_v1', 'dB_v2', 'dB_v4', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v1']
['dA_v1', 'dA_v2', 'dB_v3', 'dB_v4', 'dB_v2', 'dD_v1', 'dD_v2', 'dC_v2', 'dC_v4', 'dC_v3', 'dC_v1']
280 ['0.0001', '0.0000', '0.0001', '0.0000']
281 ['0.0001', '0.0000', '0.0001', '0.0000']
282 ['0.0043', '0.9956', '0.9988', '0.9950']
283 ['0.9959', '0.9974', '0.0009', '0.0059']
284 ['0.0004', '0.0001', '0.0001', '0.0001']
285 ['0.9980', '0.0026', '0.0010', '0.9969']
286 ['0.0003', '0.0002', '0.0003', '0.0002']
287 ['0.0001', '0.0000', '0.0001', '0.0000']
288 ['0.9981', '0.9982', '0.0003', '0.0027']
289 ['0.0004', '0.0001', '0.0001', '0.0001']
290 ['0.9981', '0.0026', '0.0011', '0.9972']
291 ['0.0003', '0.0001', '0.0001', '0.0002']
292 ['0.0002', '0.0000', '0.0000', '0.0000']
293 ['0.0001', '0.0000', '0.0001', '0.0000']
294 ['0.9984', '0.9982', '0.0002', '0.0024']
295 ['0.0004', '0.0001', '0.0001', '0.0000']
296 ['0.0002', '0.0000', '0.0001', '0.0000']
297 ['0.0000', '0.0007', '0.9976', '0.0026']
298 ['0.0046', '0.9950', '0.9990', '0.9964']
299 ['0.0002', '0.0003', '0.0003', '0.0001']
300 ['0.0001', '0.0000', '0.0001', '0.0000']
301 ['0.0001', '0.0000', '0.0001', '0.0000']
302 ['0.0001', '0.0000', '0.0001', '0.0000']
303 ['0.0001', '0.0000', '0.0002', '0.0000']
304 ['0.0002', '0.0000', '0.0001', '0.0000']
305 ['0.0001', '0.0000', '0.0001', '0.0000']
306 ['0.0001', '0.0000', '0.0001', '0.0000']
307 ['0.0001', '0.0000', '0.0001', '0.0000']
308 ['0.9982', '0.9983', '0.0003', '0.0022']
309 ['0.9976', '0.0034', '0.0011', '0.9970']
